x,y
6.830438820151686059e+02,2.946196217844640728e+02
6.720868067715932739e+02,2.933426065855455818e+02
6.878198076102722780e+02,3.394342248841222727e+02
6.116307477374681412e+02,3.523448349940586013e+02
5.487683666711455999e+02,2.822976910705432374e+02
6.091088118672498695e+02,3.143716398782003125e+02
5.945030725177959994e+02,3.418665585737923038e+02
6.195170098466916215e+02,2.844740689233724424e+02
5.962940177551478200e+02,2.903632683567007007e+02
4.739080650975181470e+02,3.273122239014691104e+02
5.704917416154123657e+02,2.794358079923289893e+02
5.891180230107784155e+02,2.875526753300597420e+02
5.737447450948193364e+02,3.079724268804831695e+02
6.796279089972829297e+02,3.219005638774647196e+02
5.150624864758932517e+02,3.276072331069486836e+02
7.064393033754155340e+02,3.557529354852411529e+02
6.199880261404317707e+02,3.357504032614223775e+02
5.454187937347746811e+02,2.583040805175742207e+02
6.882176228662964377e+02,2.326254699415160019e+02
6.296573239909747599e+02,3.118982467933083171e+02
6.473248485274405084e+02,2.047183376554824292e+02
6.875578176893012596e+02,2.502484789640946019e+02
6.411277594288836781e+02,2.045211627521280491e+02
6.527167793520616215e+02,3.354619097042638032e+02
7.667797977126550677e+02,2.945269314811114327e+02
7.179129412656975546e+02,2.239569469676027325e+02
6.850815379461872681e+02,2.373256471551223399e+02
7.492439518809965193e+02,2.536772947059601506e+02
7.234165947282584739e+02,2.632327447062871215e+02
6.917293912780162373e+02,2.398357048997029608e+02
6.988039954084318879e+02,2.209211140184098952e+02
7.221347001331776028e+02,2.403539090699206611e+02
6.009398639060032110e+02,2.101234935590566693e+02
7.533146588367241065e+02,2.256040139757831469e+02
6.218795882604263170e+02,2.681297261201830793e+02
5.458265302587943779e+02,2.467456551149116990e+02
6.551197296578675378e+02,2.311669763497551173e+02
6.416981531648341388e+02,2.067658394564417677e+02
7.013034048015352937e+02,1.832200726448821229e+02
6.907411424347253615e+02,1.911164013345273247e+02
6.288620769911948400e+02,2.069619746445146120e+02
6.041119872699540565e+02,2.219988875628532412e+02
5.226491762987070615e+02,3.480410082640937617e+02
5.979291388320790475e+02,3.310422915837742721e+02
6.282938186830010636e+02,2.644733123231913510e+02
6.033974489820639064e+02,2.640499314072208108e+02
6.108568403769619408e+02,2.854799774464167399e+02
5.275851341890473805e+02,2.358328145386422534e+02
6.304689253674735028e+02,2.758341811190072121e+02
4.033082196364369452e+02,2.934707461216052025e+02
6.305873924308783671e+02,3.734660503327887682e+02
6.131014052788791560e+02,2.914509133715077951e+02
5.953272581168283750e+02,2.818559762772141539e+02
6.012391209500475497e+02,2.955562179229819435e+02
6.420521236924872710e+02,2.572048804798531023e+02
6.178499849437361036e+02,2.789304868331113312e+02
7.035420264732933902e+02,2.176961335070710675e+02
6.964701050919084082e+02,2.722718786185955651e+02
6.384898103090513359e+02,3.436484210927022218e+02
5.483497537791611194e+02,2.925326301882566895e+02
6.393737913548617371e+02,2.791683682024537347e+02
6.477582015125549333e+02,2.344828169719029631e+02
7.606667840349200560e+02,3.089832023645258801e+02
6.063645156640438927e+02,3.227638972603865568e+02
6.305638720124470638e+02,2.838816657435855859e+02
6.547715865312976575e+02,2.413381979244868205e+02
6.606387629747748633e+02,2.695911113815597560e+02
6.698939117975018007e+02,2.516761741006002921e+02
6.082397323605765678e+02,2.515295214097014593e+02
6.742930897335304508e+02,2.211402458464577592e+02
6.149362694248710568e+02,2.407734289510319172e+02
6.812334244526014118e+02,3.217322932705103540e+02
7.238947205811326739e+02,2.609186414925956115e+02
6.584139779708577862e+02,2.181673443514298185e+02
5.645767760679290177e+02,2.191455483599217473e+02
6.709962023131205342e+02,1.892407924901997660e+02
6.709545757092996610e+02,2.193480619829061027e+02
6.004247511658450094e+02,2.072055332369177449e+02
6.499112721682311076e+02,2.368124579725968601e+02
5.880606811946890957e+02,2.339713697859277204e+02
6.146628142215856769e+02,2.733785064071680608e+02
6.477746651350581715e+02,2.377703434170237244e+02
6.142278626434643911e+02,2.612625545671999703e+02
5.322939360480136202e+02,2.970577416787814400e+02
5.278991516235595327e+02,2.380014239704398733e+02
6.860867662543338383e+02,2.501635460678421055e+02
5.536432898656241832e+02,2.831521705341909296e+02
5.240142125648444562e+02,2.678252915146384225e+02
6.897418343306324005e+02,1.945205915964050973e+02
6.415465462974176489e+02,1.083215658365228649e+02
5.802408633869725918e+02,2.636097950898266618e+02
6.212659467446306962e+02,1.947471302562875337e+02
6.172664734040406529e+02,1.523896792165278953e+02
5.565170588881655931e+02,2.288596274001455413e+02
4.901463546313432857e+02,2.029280786007200277e+02
6.476988173314391588e+02,1.926367093857367081e+02
6.796748472456121135e+02,2.607579654456212666e+02
6.327746162717179459e+02,1.645770300685838947e+02
6.703164369067908410e+02,1.848602112064331777e+02
7.459605798942403680e+02,2.029801171898422183e+02
6.854683656505122826e+02,1.817581990271029326e+02
5.973108708112848717e+02,2.818533335857840711e+02
6.638946886291621468e+02,2.142031202749943191e+02
6.260794118935671122e+02,2.652573929117557441e+02
4.477405294592182372e+02,2.289895511334108562e+02
7.120627224954480425e+02,1.645241162452056187e+02
7.011779960959780738e+02,2.245465471242083026e+02
6.213260158589547473e+02,2.072839318640711213e+02
7.544646154188784521e+02,2.092708656074404701e+02
6.663094063917408221e+02,2.168793276336108420e+02
6.336278216603531064e+02,2.092772027310938938e+02
5.361606340102247259e+02,2.072501515957966660e+02
6.773096721753208840e+02,1.992146062017675376e+02
5.394088299752669400e+02,1.938512558949372533e+02
5.887405885862201558e+02,2.511204453406626271e+02
5.435871294709199901e+02,2.487710701321737474e+02
4.911291340754725070e+02,1.958315272603621224e+02
5.831039106862566541e+02,2.379165604052786591e+02
6.369569066660479848e+02,2.188829604499491666e+02
5.656660857083251130e+02,1.982963054723289247e+02
6.153950222881427408e+02,2.054982198059361167e+02
6.071472729577999417e+02,2.425606842835020984e+02
5.916607286190674131e+02,2.598263361932234830e+02
5.444961088577340433e+02,2.428995170670970936e+02
6.032779869152675474e+02,2.494108185939501254e+02
5.794502002885459433e+02,2.587675619105927467e+02
6.875628478530838947e+02,2.464195685669511988e+02
5.993188135292789411e+02,2.546905362145371612e+02
6.766668206808079731e+02,2.382853632604878271e+02
5.717531945040511800e+02,2.712691110340118712e+02
5.580021902270016199e+02,2.156143953006042011e+02
6.108379824008735568e+02,1.933588708727801020e+02
5.527590035553557755e+02,2.680027787408554332e+02
5.417018225566082492e+02,2.547938877680807650e+02
6.194246056559845783e+02,3.070623390159810242e+02
6.474130704256324407e+02,2.140178331766828705e+02
4.228199076059607933e+02,2.258522038704226986e+02
4.189534986859005699e+02,2.324529048103484570e+02
5.190927846940019208e+02,1.985164318271264960e+02
7.197391727141158526e+02,1.619845925067135681e+02
4.903764615859323612e+02,2.828720166641824676e+02
5.366225833778380547e+02,2.614522327605789087e+02
5.813900527460110652e+02,2.900574091094802043e+02
5.026410183866211128e+02,2.767253835352016154e+02
5.116659257448343396e+02,3.171189534885635908e+02
5.111698610148896478e+02,2.736352718604678671e+02
5.957896021902097345e+02,3.614934331208716003e+02
6.649413225184764542e+02,3.270255242085787017e+02
6.561647999518123697e+02,3.285210576910558302e+02
5.732492445302051465e+02,3.359793792963212127e+02
5.650398108904641958e+02,2.863727739087158284e+02
5.581647652165003137e+02,2.704619393346044376e+02
5.161305346795413698e+02,1.850401171678608989e+02
5.841245310752524347e+02,2.453326666776553964e+02
6.081322124791745409e+02,2.212104885610019096e+02
6.015186323824776764e+02,2.563308376991744240e+02
5.863770549220868133e+02,2.469143780291805399e+02
5.529137467834638073e+02,2.906118908314448390e+02
4.010384722076532853e+02,2.543971833770393687e+02
6.793191579962875721e+02,2.143447576207191219e+02
5.275050581560795990e+02,2.967560163686271153e+02
6.527038143592953929e+02,2.901682635619442863e+02
6.282844842907792327e+02,3.051014265144403907e+02
6.879829366789697360e+02,3.118729424994056671e+02
6.601873685669618226e+02,2.408251494253809426e+02
6.338672965276492732e+02,3.055599033305700232e+02
5.396620979545247110e+02,2.997463354005407723e+02
6.077962184551297469e+02,2.280036572664078847e+02
4.605511985606654548e+02,2.464139025040575746e+02
5.227626072497976111e+02,2.537553624046827281e+02
5.503722087838348216e+02,2.928792797080584478e+02
4.563389151579892768e+02,2.417354600351095826e+02
5.634700891229156241e+02,2.193681680110093737e+02
6.718269456600396552e+02,3.064117175733927638e+02
5.060324048543195659e+02,2.102617862325162719e+02
5.203110625774309028e+02,2.245637411123151708e+02
5.327469757009221212e+02,2.532147239117515767e+02
4.664240513022322148e+02,2.077545200113499391e+02
5.020491640637368391e+02,2.618815711789018792e+02
6.508126625741665521e+02,2.504968288599589812e+02
6.406137968149515700e+02,2.176693544715096493e+02
5.711388611521712164e+02,2.203704414107038190e+02
5.674052133543136733e+02,2.148653125946404714e+02
5.868982218828139139e+02,2.402126612288284377e+02
